5	-5.362122417e-018	7.237719491e-016	3.716178594e-016	4.016297387e-017	-1.613704194e-016	-9.106196982e-018	1.168061183e-016	2.661041861e-016	-2.267683403e-016	7.616048274e-016	-4.215325737e-017	1.460844724e-016	2.019439522e-016	1.332857816e-016	5.688805676e-017	2.858089518e-019	1.802164936e-016	8.639051501e-016	4.048186526e-017	4.066181557e-016	9.882985432e-018	5.235088421e-016	9.94672567e-016	8.120138505e-016	1.220033646e-015	-1.097932048e-016	4.020231461e-015	8.249700093e-015	1.568588989e-014	2.96287643e-014
5.5	-2.460750063e-017	4.045986338e-016	6.954711783e-017	3.152271703e-016	-1.661572841e-016	-1.124700023e-017	5.34277396e-017	4.513132096e-017	6.729189693e-017	6.898068563e-016	-4.246847793e-017	-8.363634738e-017	2.362302536e-016	-1.891296676e-016	2.862479566e-016	3.978297228e-018	-3.313385941e-017	4.63298452e-016	9.89853187e-017	6.858379932e-016	1.074584099e-017	3.841791425e-016	1.523272198e-015	1.141586013e-015	1.261325734e-015	-1.103526632e-016	4.706774436e-015	9.407497355e-015	1.79387828e-014	3.279560501e-014
6	-3.636041975e-017	3.082023961e-016	-2.497546857e-016	6.746391459e-016	-9.121802616e-017	-3.852455949e-017	4.950663552e-016	-6.20793717e-018	4.181456383e-016	5.545503814e-016	-4.869306272e-017	3.685019943e-016	4.387277013e-016	-2.5165126e-016	6.405097514e-016	6.628753512e-018	3.853662136e-016	7.512063505e-016	3.8273868e-016	1.988609278e-016	6.766573891e-018	5.865683726e-016	1.864368557e-015	1.566781272e-015	1.909116185e-015	-1.280499568e-016	5.113553941e-015	9.910042291e-015	1.985537271e-014	3.622680573e-014
6.5	-3.300158822e-017	4.297326517e-016	2.886562319e-016	3.346789012e-016	-1.607602499e-016	-4.479518105e-017	3.698219778e-016	4.25478662e-017	4.907196758e-016	7.282266517e-016	-3.25685166e-017	3.79378906e-016	4.559851645e-016	-2.861051103e-016	6.544831329e-016	8.077149732e-018	3.085315997e-016	8.211170669e-016	4.352231874e-016	3.896189921e-016	5.659038901e-018	9.583304422e-016	1.928984795e-015	1.143763516e-015	1.349221649e-015	-1.402332832e-016	5.879089403e-015	1.103601977e-014	2.158952017e-014	3.968695706e-014
7	-3.165048661e-017	4.748479461e-016	1.776636075e-016	1.831144156e-016	-2.514217092e-016	-4.427609744e-017	6.685680118e-016	-3.474943344e-017	2.587496265e-016	6.228882801e-016	-3.771270653e-017	4.310660227e-016	3.629008941e-016	-3.179466488e-016	5.241328047e-016	1.08726038e-017	3.629494833e-016	1.053286196e-015	5.152421185e-016	6.826641868e-016	1.202092262e-018	7.455104072e-016	1.580830373e-015	9.918591897e-016	1.516469537e-015	-1.457850502e-016	5.918750844e-015	1.183543602e-014	2.297337634e-014	4.290250395e-014
7.5	-2.835263015e-017	6.996070684e-017	-8.156799358e-017	2.02844718e-016	-2.17248346e-016	-4.284746073e-017	3.840666716e-016	-4.081423742e-017	4.905743533e-016	8.874919795e-016	-2.648663273e-017	3.704523214e-016	3.541388372e-016	-2.763950437e-016	8.168166325e-016	2.465436156e-017	4.186525726e-016	9.221872501e-016	2.603120396e-016	5.635898491e-016	6.243096181e-018	8.700363288e-016	1.712653735e-015	9.95076867e-016	1.462265817e-015	-1.386115482e-016	6.383658831e-015	1.287649185e-014	2.527772894e-014	4.627240423e-014
8	-1.955360234e-017	2.688640827e-016	-1.662944098e-016	9.358651602e-016	-9.644942142e-017	-4.833782028e-017	3.883311875e-016	-1.663724581e-016	4.761257145e-016	7.689186988e-016	-3.715961957e-017	5.966116695e-016	3.9524794e-016	1.367605437e-016	9.223935755e-016	4.86665508e-018	5.759395324e-016	1.137914587e-015	2.947204252e-016	5.397320189e-016	2.499066737e-018	1.4165145e-015	1.946331702e-015	1.465726519e-015	1.852784924e-015	-1.446288446e-016	6.376529578e-015	1.350726713e-014	2.683022954e-014	4.992874901e-014
8.5	-1.207065791e-017	6.469897863e-016	4.976461679e-016	5.963238617e-016	-3.859137643e-016	-3.770161298e-017	7.993651446e-017	-2.43655071e-017	4.621263842e-016	8.696933769e-016	-4.915756251e-017	6.364861996e-016	2.862498104e-016	5.67521252e-016	1.07567024e-015	1.494942052e-017	2.67752619e-016	1.420600729e-015	5.369353643e-016	9.945661978e-016	4.290074062e-018	1.168350507e-015	1.937536381e-015	1.099535091e-015	1.38729812e-015	-1.48743884e-016	6.93830688e-015	1.450578355e-014	2.868408556e-014	5.39357425e-014
9	-1.800466753e-017	1.105394136e-015	6.309230192e-016	4.551424473e-016	-3.578201699e-016	-5.250766936e-017	2.245328201e-016	5.303489293e-017	4.395769403e-016	9.759012821e-016	-5.442293175e-017	5.277939182e-016	2.904796955e-016	-3.862372481e-017	7.469426876e-016	1.093232702e-017	2.772971116e-016	7.756459637e-016	4.436997317e-016	1.145462419e-015	1.831127252e-017	9.784706239e-016	1.65685332e-015	1.410197827e-015	1.61997425e-015	-1.619696853e-016	7.343193203e-015	1.557519791e-014	3.070261718e-014	5.751302803e-014
9.5	-2.506604584e-017	2.387437876e-016	5.303328456e-016	6.342278385e-016	-2.221032525e-016	-4.777035622e-017	3.305035179e-016	-1.768689442e-016	4.174670413e-016	9.456572372e-016	-4.671583444e-017	4.35207109e-016	1.164841083e-015	2.602371613e-016	9.572299968e-016	1.533664357e-017	2.852717941e-016	1.113578553e-015	3.730424884e-016	1.050664523e-015	4.343475557e-018	4.09074962e-016	1.300838826e-015	1.460821074e-015	1.585965739e-015	-1.62666576e-016	8.023349721e-015	1.646410719e-014	3.299026868e-014	6.128598727e-014
